Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5708586,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
5708832,000005D0,false,Rx,0,6,80,47,51,30,24,41,00,00,
5709156,00000520,false,Rx,0,8,0C,88,01,2F,80,75,34,04,
5710851,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,13,
5711937,00000588,false,Rx,0,8,E9,04,7F,00,63,00,00,00,
5717723,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,14,
5717974,00000288,false,Rx,0,8,0C,52,00,00,00,56,00,00,
5718224,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5718475,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5718729,000005A0,false,Rx,0,8,64,01,00,C0,86,00,00,30,
5721930,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
5722257,00000050,false,Rx,0,4,00,01,40,41,00,00,00,00,
5724783,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,15,
5728100,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
5728206,00000488,false,Rx,0,8,C9,00,00,7F,A6,00,00,10,
5731798,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,16,
5732121,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5732298,00000588,false,Rx,0,8,E9,04,7F,00,63,00,00,00,
5732551,000005A0,false,Rx,0,8,64,01,00,6E,94,00,00,30,
5732797,00000320,false,Rx,0,8,82,06,00,01,00,00,00,00,
5737963,00000288,false,Rx,0,8,0C,52,00,00,00,56,00,00,
5738166,00000380,false,Rx,0,8,00,4D,00,08,00,00,00,00,
5738795,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,17,
5741922,00000480,false,Rx,0,8,19,22,00,00,19,06,00,24,
5742320,00000050,false,Rx,0,4,00,01,50,51,00,00,00,00,
5745756,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,18,
5746079,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5746256,000005A0,false,Rx,0,8,64,01,00,1C,A2,00,00,30,
5748236,00000280,false,Rx,0,8,01,73,00,00,73,00,2C,00,
5748263,00000488,false,Rx,0,8,F9,00,00,7F,A6,00,00,20,
